date,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),RH (%),SR (W/mt2),BP (mmHg)
2019-01-01,62.22,65.55177083333334,7.28,38.6,45.88,45.88,10.55,0.75,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,38.34,157.13,1006.15
2019-01-02,53.86,65.55177083333334,8.95,52.72,61.03,61.67,30.0,0.73,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,39.23,156.89,1006.27
2019-01-03,52.26,65.55177083333334,12.49,94.09,106.59,106.59,37.94,0.85,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,37.6,159.42,1005.62
2019-01-04,46.98,65.55177083333334,9.54,69.26,78.02,79.09,16.48,1.06,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,33.71,148.55,1005.05
2019-01-05,34.24,65.55177083333334,13.44,33.08,42.84,42.92,14.49,1.03,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,40.41,40.84,1007.19
2019-01-06,49.19,65.55177083333334,6.46,36.0,42.01,42.46,15.73,0.97,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,47.05,144.2,1008.66
2019-01-07,50.9,65.55177083333334,7.45,55.22,62.67,63.1,22.66,0.96,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,45.62,153.1,1008.0
2019-01-08,60.38,65.55177083333334,6.87,61.18,68.05,68.05,30.44,0.82,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,34.9,147.85,1005.4
2019-01-09,50.85,65.55177083333334,7.1,67.06,74.16,74.16,13.88,0.84,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,27.73,154.77,1003.68
2019-01-10,67.82,65.55177083333334,7.37,69.47,76.75,77.56,6.7,0.95,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,35.95,147.19,1005.61
2019-01-11,67.05,65.55177083333334,7.58,74.25,81.73,81.73,2.98,0.92,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,40.55,148.25,1006.7
2019-01-12,70.59,65.55177083333334,7.29,72.49,79.77,79.77,2.31,0.84,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,43.65,124.39,1007.42
2019-01-13,52.75,65.55177083333334,6.95,73.06,79.9,79.9,2.41,0.84,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,38.53,148.63,1006.22
2019-01-14,62.27,65.55177083333334,7.69,75.66,83.24,83.24,2.95,0.88,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,40.96,142.12,1006.81
2019-01-15,52.44,65.55177083333334,6.77,71.58,78.34,78.34,2.36,0.63,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,19.75,134.99,1001.5
2019-01-16,66.23,65.55177083333334,7.37,76.56,83.04,83.94,2.62,0.88,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,31.95,152.6,1004.63
2019-01-17,58.48,65.55177083333334,9.02,60.85,68.97,68.98,4.87,0.7,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,41.63,196.77,1006.86
2019-01-18,50.45,65.55177083333334,4.32,25.81,28.73,28.73,14.89,1.03,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,29.11,122.11,1004.71
2019-01-19,44.97,65.55177083333334,4.85,26.88,31.3,31.63,15.21,0.76,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,55.49,156.8,1006.42
2019-01-20,28.97,65.55177083333334,3.96,21.92,25.88,25.88,9.58,0.74,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,82.72,129.41,1004.09
2019-01-21,37.07,65.55177083333334,4.23,26.7,30.92,30.92,8.08,0.93,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,29.28,141.21,1005.68
2019-01-22,50.4,65.55177083333334,5.25,26.91,32.15,32.15,4.24,1.1,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,46.34,135.24,1006.94
2019-01-23,43.08,65.55177083333334,4.72,25.98,30.66,30.66,4.31,1.05,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,52.12,133.84,1008.33
2019-01-24,34.95,65.55177083333334,4.36,22.15,26.45,26.45,3.69,0.86,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,54.21,130.84,1008.81
2019-01-25,26.33,65.55177083333334,4.2,20.17,23.98,23.98,4.12,0.94,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,51.1,113.39,1007.99
2019-01-26,31.83,65.55177083333334,4.16,19.44,23.55,23.55,4.02,0.93,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,57.96,99.38,1009.65
2019-01-27,27.62,65.55177083333334,4.11,17.29,21.38,21.38,3.85,0.86,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,61.0,78.68,1010.35
2019-01-28,26.2,65.55177083333334,4.13,16.81,20.92,20.92,3.98,0.79,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,64.68,108.81,1011.27
2019-01-29,23.4,65.55177083333334,4.24,18.24,22.48,22.48,4.13,0.81,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,61.52,122.8,1010.46
2019-01-30,31.67,65.55177083333334,4.2,17.95,22.15,22.15,3.56,0.8,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,55.68,178.55,1009.05
2019-01-31,29.17,65.55177083333334,4.09,20.7,24.69,24.69,4.23,1.03,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,38.34,145.68,1004.99
2019-02-01,39.8,65.55177083333334,4.28,22.42,26.69,26.69,3.68,0.93,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,50.46,131.65,1007.78
2019-02-02,36.06,65.55177083333334,3.96,21.55,25.52,25.52,4.09,0.87,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,50.44,140.02,1007.77
2019-02-03,26.84,65.55177083333334,3.81,19.98,23.77,23.77,3.55,0.79,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,50.58,135.64,1007.8
2019-02-04,32.01,65.55177083333334,3.93,19.84,23.76,23.76,3.79,0.69,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,49.54,149.28,1007.53
2019-02-05,32.68,65.55177083333334,3.74,19.12,22.86,22.86,4.16,0.87,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,55.54,96.45,1008.98
2019-02-06,39.03,65.55177083333334,3.76,21.26,25.02,27.87,4.32,0.86,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,41.0,141.55,1005.42
2019-02-07,43.8,65.55177083333334,3.84,23.09,26.93,32.73,4.0,0.91,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,45.89,106.43,1006.57
2019-02-08,40.2,65.55177083333334,3.79,21.05,24.84,30.64,3.56,0.86,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,49.59,138.72,1007.49
2019-02-09,48.31,65.55177083333334,3.96,22.73,26.69,32.49,3.24,0.9,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,56.69,77.14,1009.19
2019-02-10,34.23,65.55177083333334,3.67,18.43,22.1,27.9,3.21,0.78,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,63.06,94.59,1010.72
2019-02-11,30.52,65.55177083333334,3.67,17.94,21.61,27.41,3.11,0.69,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,59.51,131.27,1009.84
2019-02-12,36.29,65.55177083333334,3.74,20.56,24.3,30.09,3.05,0.75,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,53.29,148.03,1008.35
2019-02-13,37.76,65.55177083333334,3.78,21.85,25.35,31.15,3.09,0.76,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,51.97,160.17,1008.05
2019-02-14,35.33,65.55177083333334,3.6,22.19,25.79,31.59,3.5,0.81,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,46.93,154.8,1006.8
2019-02-15,41.87,65.55177083333334,3.61,20.43,24.04,29.84,3.45,0.8,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,54.62,147.03,1008.68
2019-02-16,45.13,65.55177083333334,3.79,20.25,24.04,29.84,3.69,0.74,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,48.43,118.16,1007.17
2019-02-17,38.8,65.55177083333334,3.69,20.09,23.78,29.58,3.27,0.81,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,43.75,146.35,1006.04
2019-02-18,48.17,65.55177083333334,4.45,24.53,28.98,34.78,3.71,0.8,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,31.75,155.79,1003.14
2019-02-19,50.22,65.55177083333334,3.64,21.06,24.7,30.5,3.87,0.81,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,53.12,135.0,1008.32
2019-02-20,41.55,65.55177083333334,3.63,19.06,22.69,28.49,3.62,0.66,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,51.48,155.08,1007.91
2019-02-21,36.53,65.55177083333334,3.59,18.26,21.85,27.65,3.37,0.65,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,69.12,0.91,1012.07
2019-02-22,52.97,65.55177083333334,13.84,25.05,37.63,43.43,3.66,0.68,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,16.53,242.62,999.62
2019-02-23,54.89,65.55177083333334,3.64,24.07,27.71,33.51,3.75,0.67,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,20.73,161.31,1000.55
2019-02-24,52.09,65.55177083333334,3.53,23.88,27.41,33.21,3.62,0.67,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,21.97,161.01,1000.82
2019-02-25,53.08,65.55177083333334,4.21,27.61,31.82,37.62,3.72,0.64,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,19.15,157.23,1000.13
2019-02-26,62.06,65.55177083333334,3.87,26.22,30.1,35.9,3.6,0.61,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,34.81,144.14,1003.91
2019-02-27,61.55,65.55177083333334,3.8,22.73,26.53,32.33,3.79,0.54,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,45.75,143.5,1006.59
2019-02-28,64.18,65.55177083333334,3.65,24.53,28.18,33.98,3.65,0.45,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,31.71,142.92,1003.15
2019-03-01,72.07,65.55177083333334,3.62,26.26,29.88,35.68,3.25,0.39,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,44.65,114.74,1006.29
2019-03-02,50.58,65.55177083333334,3.36,19.27,22.62,28.42,3.33,0.38,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,54.18,134.1,1008.57
2019-03-03,40.24,65.55177083333334,3.36,20.19,23.55,29.35,3.49,0.46,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,49.72,109.44,1007.48
2019-03-04,52.97,65.55177083333334,3.31,18.81,22.12,27.92,3.51,0.42,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,48.07,135.21,1007.08
2019-03-05,62.11,65.55177083333334,3.37,19.91,23.28,29.08,3.72,0.38,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,49.31,127.28,1007.39
2019-03-06,80.71,65.55177083333334,3.38,20.37,23.5,29.3,3.21,0.67,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,33.22,136.44,1003.51
2019-03-07,91.89,65.55177083333334,4.36,28.95,33.27,39.06,3.72,0.89,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,16.91,150.48,999.58
2019-03-08,78.76,65.55177083333334,3.35,29.23,32.58,38.38,3.81,0.9,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,23.37,131.3,1001.12
2019-03-09,67.25,65.55177083333334,3.43,23.75,27.18,32.98,3.68,0.91,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,51.54,106.17,1007.93
2019-03-10,46.13,65.55177083333334,3.31,18.93,22.23,28.03,3.17,0.76,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,49.7,128.08,1007.47
2019-03-11,47.16,65.55177083333334,3.34,19.75,23.1,28.9,3.28,0.72,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,40.38,136.25,1005.2
2019-03-12,63.17,65.55177083333334,3.31,20.92,24.23,30.03,3.45,0.77,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,32.99,139.61,1003.4
2019-03-13,66.04,65.55177083333334,3.7,24.89,28.58,34.38,3.33,0.8,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,25.55,142.01,1001.63
2019-03-14,58.25,65.55177083333334,3.9,24.55,28.23,34.03,3.6,0.69,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,21.31,137.52,1000.61
2019-03-15,59.29,65.55177083333334,3.05,25.43,28.48,34.28,3.6,0.64,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,18.74,140.11,1000.0
2019-03-16,57.57,65.55177083333334,3.21,25.63,28.83,34.62,3.3,0.75,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,25.23,140.19,1001.54
2019-03-17,63.66,65.55177083333334,3.17,26.64,29.81,35.61,3.35,0.78,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,28.47,136.28,1002.32
2019-03-18,56.26,65.55177083333334,3.13,24.03,27.16,32.96,3.37,0.81,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,38.85,132.28,1004.81
2019-03-19,54.75,65.55177083333334,3.25,22.25,25.5,31.3,3.33,0.8,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,44.41,132.75,1006.16
2019-03-20,51.56,65.55177083333334,3.34,20.88,24.22,30.02,3.48,0.87,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,43.41,123.05,1005.91
2019-03-21,60.87,65.55177083333334,3.3,21.0,24.29,30.09,3.53,0.83,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,38.61,130.63,1004.75
2019-03-22,62.23,65.55177083333334,3.34,22.12,25.46,31.26,3.37,0.83,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,38.39,130.92,1004.69
2019-03-23,66.31,65.55177083333334,3.55,23.14,26.69,32.5,3.36,0.83,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,35.33,123.74,1003.97
2019-03-24,65.53,65.55177083333334,3.25,19.56,22.8,28.61,3.31,0.78,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,40.37,123.17,1005.18
2019-03-25,69.71,65.55177083333334,3.45,20.69,24.14,29.94,3.39,0.84,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,35.53,136.02,1004.0
2019-03-26,73.32,65.55177083333334,3.34,21.68,25.01,30.81,3.35,0.81,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,28.52,135.76,1002.33
2019-03-27,97.1,65.55177083333334,3.44,23.22,26.66,32.46,3.43,0.83,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,32.47,136.49,1003.27
2019-03-28,91.97,65.55177083333334,3.36,24.19,27.55,33.35,3.38,0.81,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,30.41,135.63,1002.79
2019-03-29,72.23,65.55177083333334,3.58,23.69,27.26,33.07,3.49,0.84,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,39.31,115.85,1004.93
2019-03-30,84.92,65.55177083333334,5.76,27.52,33.26,39.06,3.38,0.92,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,36.67,130.31,1004.31
2019-03-31,62.54,65.55177083333334,3.79,21.74,25.52,31.32,3.41,0.88,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,46.09,129.14,1006.58
2019-04-01,74.6,65.55177083333334,4.41,23.8,28.21,34.0,3.43,0.82,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,39.46,124.34,1004.95
2019-04-02,71.36,65.55177083333334,3.76,22.55,26.29,32.09,3.26,0.86,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,41.62,124.11,1005.46
2019-04-03,73.91,65.55177083333334,3.29,21.03,24.31,30.11,3.31,0.79,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,34.09,121.98,1003.64
2019-04-04,151.91,65.55177083333334,3.25,20.59,23.84,29.64,3.34,0.84,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,34.82,140.79,1003.88
2019-04-05,52.62,65.55177083333334,3.2,20.13,23.33,29.13,3.4,0.84,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,37.08,129.64,1004.55
2019-04-06,56.5,65.55177083333334,3.15,19.15,22.3,28.1,3.29,0.88,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,34.79,123.77,1003.97
2019-04-07,81.06,65.55177083333334,3.13,18.48,21.61,27.41,3.37,0.88,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,34.9,118.67,1003.96
2019-04-08,101.44,65.55177083333334,3.32,19.08,22.4,28.2,3.22,0.86,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,43.27,122.41,1005.94
2019-04-09,82.23,65.55177083333334,3.23,17.77,21.0,26.8,3.37,0.7,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,48.5,126.12,1007.22
2019-04-10,68.28,65.55177083333334,3.3,19.55,22.85,28.65,3.25,0.87,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,39.78,113.51,1005.12
2019-04-11,66.15,65.55177083333334,3.42,19.52,22.69,28.5,3.26,0.85,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,43.51,130.22,1006.05
2019-04-12,61.0,65.55177083333334,3.33,19.56,22.89,28.69,3.18,0.78,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,32.91,130.1,1003.46
2019-04-13,58.69,65.55177083333334,3.27,18.22,21.49,27.28,3.34,0.75,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,37.35,138.16,1004.53
2019-04-14,55.05,65.55177083333334,3.2,17.22,20.42,26.22,3.35,0.75,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,32.26,142.81,1003.28
2019-04-15,63.69,65.55177083333334,3.44,20.78,24.22,30.02,3.14,0.76,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,31.21,143.95,1003.02
2019-04-16,56.91,65.55177083333334,3.31,19.61,22.92,28.72,3.27,0.79,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,39.73,146.88,1005.08
2019-04-17,121.51,65.55177083333334,3.5,18.58,22.08,27.88,3.23,0.8,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,60.64,106.39,1010.13
2019-04-18,53.87,65.55177083333334,3.37,16.8,20.17,25.97,3.22,0.75,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,58.21,158.56,1009.56
2019-04-19,37.42,65.55177083333334,3.65,19.24,22.85,28.67,3.48,0.83,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,58.02,163.94,1009.62
2019-04-20,30.4,65.55177083333334,3.55,17.58,21.13,26.93,3.29,0.86,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,57.36,146.97,1009.56
2019-04-21,26.14,65.55177083333334,3.45,18.1,21.55,27.35,3.15,0.73,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,52.37,155.32,1008.31
2019-04-22,38.67,65.55177083333334,4.13,18.72,22.85,28.65,3.35,0.82,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,59.26,143.77,1009.99
2019-04-23,30.51,65.55177083333334,3.53,19.22,22.76,28.56,3.2,0.78,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,47.57,156.91,1007.11
2019-04-24,41.88,65.55177083333334,3.53,21.41,24.94,30.75,3.23,0.88,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,39.73,175.08,1005.19
2019-04-25,48.53,65.55177083333334,3.48,22.83,26.3,32.1,3.25,0.8,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,34.87,161.4,1003.99
2019-04-26,49.07,65.55177083333334,3.5,21.88,25.37,31.17,3.23,0.83,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,40.35,176.31,1005.34
2019-04-27,60.22,65.55177083333334,3.42,20.38,23.8,29.6,3.26,0.93,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,39.27,129.29,1005.06
2019-04-28,52.23,65.55177083333334,3.39,21.34,24.74,30.54,3.23,0.95,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,41.87,81.83,1005.65
2019-04-29,47.32,65.55177083333334,3.42,18.19,21.61,27.41,3.39,0.89,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,54.08,115.48,1008.63
2019-04-30,57.18,65.55177083333334,3.95,18.66,22.62,28.42,3.41,0.82,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,62.46,122.71,1010.64
2019-05-01,23.04,65.55177083333334,3.57,15.71,19.28,25.08,3.29,0.76,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,67.28,105.73,1011.8
2019-05-02,42.06,65.55177083333334,3.46,16.97,20.43,26.23,3.23,0.83,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,55.86,143.06,1009.11
2019-05-03,44.58,65.55177083333334,3.39,17.2,20.58,26.38,3.35,0.81,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,57.02,161.53,1009.37
2019-05-04,51.72,65.55177083333334,3.43,17.78,21.2,27.0,3.18,0.87,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,54.34,138.88,1008.7
2019-05-05,54.54,65.55177083333334,3.35,17.39,20.74,26.54,3.3,0.82,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,52.66,156.49,1008.28
2019-05-06,47.19,65.55177083333334,3.34,17.55,20.89,26.69,3.12,0.94,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,50.89,124.83,1007.85
2019-05-07,37.65,65.55177083333334,3.4,16.07,19.47,25.27,3.3,0.86,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,61.52,145.27,1010.4
2019-05-08,32.345,65.55177083333334,5.879079861111111,20.46,24.13072916666667,17.26078125,4.26,0.7671875,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,71.625,108.8,926.89
2019-05-09,26.39,65.55177083333334,4.1,20.49,24.59,39.4,3.4,1.0,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,55.65,178.13,1009.11
2019-05-10,41.3,65.55177083333334,3.48,22.38,25.86,37.26,3.31,0.85,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,72.38,154.41,1013.46
2019-05-11,43.64,65.55177083333334,3.36,17.17,20.53,25.73,3.22,0.92,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,80.14,122.26,1016.77
2019-05-12,28.39,65.55177083333334,3.31,14.42,17.73,24.67,3.25,0.76,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,78.67,150.25,1017.03
2019-05-13,29.27,65.55177083333334,3.86,16.95,20.81,32.15,3.34,0.94,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,82.45,51.68,1015.74
2019-05-14,33.92,65.55177083333334,3.4,15.19,18.59,26.87,3.29,0.82,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,77.76,138.6,1016.14
2019-05-15,37.08,65.55177083333334,3.48,14.71,18.2,28.49,3.34,0.93,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,88.97,105.05,1019.45
2019-05-16,35.56,65.55177083333334,4.08,16.08,20.15,33.89,3.23,1.1,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,76.58,132.67,1016.5
2019-05-17,41.66,65.55177083333334,4.22,16.01,20.23,36.11,3.35,1.08,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,86.48,98.56,1017.87
2019-05-18,58.48,65.55177083333334,3.84,17.4,21.18,42.89,3.83,1.14,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,80.26,127.8,1016.31
2019-05-19,39.67,65.55177083333334,3.48,17.86,21.34,35.52,3.51,1.16,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,74.81,127.18,1016.78
2019-05-20,49.37,65.55177083333334,3.64,19.47,23.12,37.69,3.51,0.97,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,78.36,113.67,1016.92
2019-05-21,42.0,65.55177083333334,3.49,18.82,22.31,33.52,3.6,0.79,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,74.88,132.01,1015.39
2019-05-22,39.85,65.55177083333334,4.33,20.68,25.01,38.49,3.57,0.83,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,78.41,108.79,1017.58
2019-05-23,31.81,65.55177083333334,3.72,19.79,23.51,37.4,3.17,0.91,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,86.84,111.87,1018.23
2019-05-24,29.01,65.55177083333334,3.87,19.32,22.91,35.27,3.49,0.91,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,81.35,127.86,1017.79
2019-05-25,26.23,65.55177083333334,3.54,18.22,21.76,32.9,3.58,0.85,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,81.32,132.21,1018.27
2019-05-26,25.57,65.55177083333334,3.31,18.3,21.61,30.23,3.53,0.75,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,76.97,146.87,1017.39
2019-05-27,27.17,65.55177083333334,3.91,21.3,25.21,37.28,3.01,0.86,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,79.88,139.17,1016.67
2019-05-28,34.96,65.55177083333334,3.69,19.45,23.13,34.59,2.36,0.97,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,81.82,128.13,1017.64
2019-05-29,24.18,65.55177083333334,3.46,20.66,24.12,33.61,2.46,0.79,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,78.89,122.8,1015.3
2019-05-30,30.61,65.55177083333334,3.43,19.42,22.85,31.12,2.39,0.88,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,63.61,130.61,1016.67
2019-05-31,32.16,65.55177083333334,3.42,19.74,23.15,31.61,2.38,0.7,34.28,1.0301041666666668,1.2105208333333333,1.62,0.5139285714285714,64.53,128.2,1017.22
